"scientific_name","longitude","latitude","group"
"background",14.75,47.25,4
"background",9.75,50.75,4
"background",15.75,43.25,2
"background",5.75,47.25,3
"background",19.75,48.25,4
"background",19.25,47.75,4
"background",8.25,40.25,2
"background",-2.25,38.25,1
"background",25.75,41.75,2
"background",6.75,44.75,2
"background",-6.25,42.25,1
"background",0.75,48.25,3
"background",-1.25,37.75,1
"background",11.25,44.75,2
"background",-8.25,36.75,1
"background",14.25,39.75,2
"background",21.25,39.25,2
"background",23.25,42.75,2
"background",-4.75,36.25,1
"background",20.25,44.25,2
"background",14.25,50.75,4
"background",5.75,39.75,2
"background",-4.25,43.75,1
"background",6.25,40.25,2
"background",10.25,44.75,2
"background",4.25,46.75,3
"background",-7.25,39.25,1
"background",7.25,47.75,3
"background",-0.25,43.25,2
"background",5.25,43.75,2
"background",10.75,40.75,2
"background",5.75,38.75,2
"background",-7.75,38.75,1
"background",15.25,45.75,2
"background",12.75,40.75,2
"background",8.25,41.25,2
"background",19.25,43.25,2
"background",-7.75,44.25,1
"background",23.25,40.75,2
"background",-1.25,42.25,1
"background",13.25,41.25,2
"background",22.75,42.75,2
"background",-2.25,45.25,1
"background",17.75,39.75,2
"background",19.75,41.25,2
"background",11.25,40.75,2
"background",19.75,45.25,2
"background",11.25,37.75,2
"background",22.75,46.25,4
"background",21.75,44.25,2
"background",18.25,43.75,2
"background",-4.25,36.75,1
"background",6.75,51.25,3
"background",5.75,39.25,2
"background",19.75,38.75,2
"background",4.25,43.25,2
"background",21.25,40.75,2
"background",-5.25,42.75,1
"background",19.25,37.25,2
"background",22.25,46.75,4
"background",10.25,48.25,4
"background",15.75,44.25,2
"background",2.25,36.25,2
"background",12.75,50.25,4
"background",-3.75,35.75,1
"background",-8.25,40.25,1
"background",-4.25,41.25,1
"background",-6.75,41.75,1
"background",-6.25,42.75,1
"background",-6.25,38.25,1
"background",9.25,39.75,2
"background",-5.75,45.25,1
"background",14.25,36.25,2
"background",10.75,50.25,4
"background",0.75,37.75,2
"background",4.75,47.75,3
"background",6.25,47.25,3
"background",5.75,36.75,2
"background",10.25,50.25,4
"background",0.25,50.25,3
"background",7.25,46.75,3
"background",3.25,49.75,3
"background",-2.25,43.25,1
"background",7.25,51.75,3
"background",14.75,38.25,2
"background",16.75,37.75,2
"background",14.75,37.25,2
"background",-6.25,37.25,1
"background",6.75,47.25,3
"background",8.75,43.75,2
"background",18.75,39.25,2
"background",-8.75,41.75,1
"background",-1.75,42.75,1
"background",2.25,37.75,2
"background",22.75,41.25,2
"background",-6.25,46.25,3
"background",22.75,38.75,2
"background",15.75,38.75,2
"background",16.25,41.75,2
"background",0.75,48.75,3
"background",9.25,50.25,4
"background",8.25,45.25,2
"background",12.75,37.25,2
"background",-0.25,41.75,2
"background",-3.25,39.25,1
"background",7.75,43.25,2
"background",16.25,43.25,2
"background",16.75,46.25,4
"background",4.25,41.75,2
"background",0.25,46.25,3
"background",1.25,43.25,2
"background",11.25,47.75,4
"background",12.75,51.25,4
"background",9.25,36.25,2
"background",-3.25,48.75,3
"background",17.75,49.75,4
"background",12.25,37.25,2
"background",0.25,37.75,2
"background",10.75,37.25,2
"background",-1.25,39.25,1
"background",15.75,42.75,2
"background",10.75,38.25,2
"background",2.75,39.75,2
"background",6.75,49.25,3
"background",12.25,42.25,2
"background",10.75,50.75,4
"background",24.25,40.75,2
"background",13.25,47.75,4
"background",-0.25,49.75,3
"background",1.25,39.75,2
"background",3.25,46.75,3
"background",4.75,50.25,3
"background",17.75,40.75,2
"background",-0.75,44.25,2
"background",0.75,40.75,2
"background",-7.25,38.75,1
"background",23.75,44.75,2
"background",0.75,41.75,2
"background",3.25,39.25,2
"background",10.75,43.75,2
"background",-4.25,43.25,1
"background",23.75,42.75,2
"background",4.25,49.75,3
"background",17.75,45.25,2
"background",-7.75,42.75,1
"background",11.25,50.25,4
"background",15.75,45.75,2
"background",14.25,40.25,2
"background",-6.75,40.25,1
"background",11.25,39.25,2
"background",14.75,46.25,4
"background",14.25,38.25,2
"background",3.25,40.25,2
"background",0.75,44.25,2
"background",20.25,38.75,2
"background",-0.75,40.75,2
"background",9.75,37.25,2
"background",20.25,44.75,2
"background",1.25,48.25,3
"background",-1.75,40.75,1
"background",9.25,41.25,2
"background",5.25,44.25,2
"background",-3.25,38.25,1
"background",17.25,44.75,2
"background",-8.75,39.75,1
"background",11.75,47.25,4
"background",24.25,39.25,2
"background",-4.25,44.25,1
"background",11.75,43.75,2
"background",16.75,43.25,2
"background",16.75,48.75,4
"background",-2.25,44.25,1
"background",12.25,44.25,2
"background",4.25,51.25,3
"background",-1.75,39.25,1
"background",8.75,37.25,2
"background",18.25,37.25,2
"background",2.75,40.25,2
"background",9.75,39.75,2
"background",-0.75,41.25,2
"background",-6.75,38.25,1
"background",7.75,40.75,2
"background",-3.25,37.25,1
"background",11.75,45.25,2
"background",14.75,42.75,2
"background",15.75,50.75,4
"background",3.25,39.75,2
"background",10.25,39.75,2
"background",-2.25,36.25,1
"background",9.75,49.75,4
"background",16.25,44.25,2
"background",7.75,46.75,3
"background",25.25,42.75,2
"background",14.75,41.25,2
"background",-8.75,43.25,1
"background",12.75,44.25,2
"background",5.25,43.25,2
"background",12.25,49.25,4
"background",18.25,37.75,2
"background",-0.75,35.75,2
"background",19.75,43.25,2
"background",9.75,36.75,2
"background",14.25,36.75,2
"background",10.75,46.75,4
"background",-0.25,47.75,3
"background",12.75,40.25,2
"background",3.25,36.75,2
"background",13.25,37.75,2
"background",4.75,47.25,3
"background",-0.75,47.75,3
"background",11.25,52.25,4
"background",10.25,41.75,2
"background",10.75,45.25,2
"background",22.75,44.25,2
"background",4.25,50.25,3
"background",5.25,51.25,3
"background",2.25,39.75,2
"background",-4.25,39.25,1
"background",14.25,41.25,2
"background",15.25,47.75,4
"background",-4.75,40.25,1
"background",2.75,48.25,3
"background",25.75,42.25,2
"background",6.75,45.25,2
"background",3.75,39.25,2
"background",-8.25,42.25,1
"background",-5.75,35.75,1
"background",-1.25,47.75,3
"background",11.25,46.75,4
"background",16.75,42.75,2
"background",19.25,37.75,2
"background",15.75,38.25,2
"background",-2.75,40.75,1
"background",13.75,50.75,4
"background",8.25,45.75,2
"background",11.75,36.75,2
"background",-2.75,46.25,3
"background",23.25,41.75,2
"background",15.25,37.25,2
"background",20.25,46.25,4
"background",10.75,48.25,4
"background",-5.25,36.75,1
"background",17.25,49.75,4
"background",-3.75,36.25,1
"background",4.75,50.75,3
"background",-4.25,39.75,1
"background",12.25,47.25,4
"background",-2.75,43.75,1
"background",5.25,41.75,2
"background",10.25,46.75,4
"background",8.75,44.25,2
"background",9.25,44.75,2
"background",-8.75,42.75,1
"background",6.75,46.25,3
"background",-1.75,45.25,1
"background",-8.75,42.25,1
"background",-1.25,49.25,3
"background",7.75,41.25,2
"background",3.75,49.25,3
"background",20.75,41.75,2
"background",12.25,48.75,4
"background",13.25,49.25,4
"background",5.75,48.25,3
"background",15.75,46.75,4
"background",11.25,51.25,4
"background",1.75,40.25,2
"background",12.75,49.25,4
"background",-3.75,42.25,1
"background",-4.25,41.75,1
"background",15.25,49.75,4
"background",7.75,38.25,2
"background",1.25,44.75,2
"background",16.25,46.75,4
"background",2.75,41.25,2
"background",-5.75,42.75,1
"background",7.25,42.75,2
"background",24.25,41.75,2
"background",-4.75,44.25,1
"background",-5.25,45.75,1
"background",12.25,46.25,4
"background",-2.75,36.25,1
"background",-2.75,45.25,1
"background",11.75,51.25,4
"background",16.25,37.75,2
"background",0.75,45.25,2
"background",6.25,38.75,2
"background",18.25,48.25,4
"background",3.75,43.75,2
"background",-2.25,40.25,1
"background",6.25,36.75,2
"background",9.75,45.25,2
"background",25.25,41.75,2
"background",12.75,48.25,4
"background",-8.25,39.25,1
"background",23.75,44.25,2
"background",2.75,38.75,2
"background",24.25,42.25,2
"background",18.25,48.75,4
"background",20.75,48.25,4
"background",-6.75,44.25,1
"background",8.25,43.75,2
"background",-2.25,48.75,3
"background",-7.25,41.75,1
"background",14.25,46.75,4
"background",1.25,42.75,2
"background",-5.75,39.25,1
"background",12.75,37.75,2
"background",-3.25,47.25,3
"background",2.75,43.25,2
"background",18.25,47.75,4
"background",24.75,39.75,2
"background",-7.25,37.25,1
"background",22.25,44.75,2
"background",9.25,45.75,2
"background",-4.75,37.75,1
"background",20.75,44.75,2
"background",4.25,50.75,3
"background",-6.25,40.25,1
"background",22.75,37.25,2
"background",-4.75,45.75,1
"background",11.75,52.25,4
"background",-2.25,49.25,3
"background",3.25,42.75,2
"background",14.75,48.75,4
"background",16.75,37.25,2
"background",9.75,46.75,4
"background",10.75,36.25,2
"background",-1.25,45.25,1
"background",9.25,43.75,2
"background",1.75,43.25,2
"background",21.75,40.25,2
"background",16.75,44.75,2
"background",15.75,42.25,2
"background",-5.25,45.25,1
"background",-4.25,48.75,3
"background",-5.25,43.25,1
"background",-5.75,41.75,1
"background",2.25,38.25,2
"background",4.75,48.75,3
"background",-6.75,45.25,1
"background",-1.25,44.75,1
"background",10.75,37.75,2
"background",23.75,42.25,2
"background",5.25,37.75,2
"background",-0.25,42.75,2
"background",19.25,43.75,2
"background",9.25,38.75,2
"background",13.25,44.75,2
"background",23.75,38.75,2
"background",11.25,45.75,2
"background",22.75,39.75,2
"background",0.75,43.25,2
"background",-5.75,44.25,1
"background",10.25,38.75,2
"background",15.25,40.75,2
"background",22.25,38.25,2
"background",-3.25,36.25,1
"background",1.25,41.75,2
"background",20.75,43.25,2
"background",8.75,46.25,4
"background",5.25,48.25,3
"background",13.25,41.75,2
"background",1.25,48.75,3
"background",5.25,44.75,2
"background",-5.25,42.25,1
"background",5.25,45.75,2
"background",13.25,38.25,2
"background",-8.75,38.25,1
"background",-9.25,40.25,1
"background",-1.25,46.25,3
"background",19.75,42.75,2
"background",4.25,48.25,3
"background",21.25,37.25,2
"background",17.75,46.75,4
"background",13.25,49.75,4
"background",14.75,36.25,2
"background",3.25,44.75,2
"background",13.25,40.25,2
"background",4.75,42.25,2
"background",13.25,51.75,4
"background",4.75,40.75,2
"background",2.75,42.25,2
"background",-9.25,38.75,1
"background",-4.75,39.25,1
"background",13.25,45.75,2
"background",15.25,46.25,4
"background",-8.25,38.75,1
"background",-6.25,36.75,1
"background",14.25,43.25,2
"background",-3.25,38.75,1
"background",8.25,49.75,3
"background",-0.75,42.75,2
"background",2.75,41.75,2
"background",8.25,50.25,3
"background",7.75,45.25,2
"background",2.25,41.75,2
"background",-0.25,46.75,3
"background",13.75,43.25,2
"background",12.75,45.25,2
"background",0.25,37.25,2
"background",15.75,43.75,2
"background",14.75,36.75,2
"background",-5.75,43.25,1
"background",20.75,45.25,2
"background",15.25,43.75,2
"background",-4.25,47.75,3
"background",-1.75,49.25,3
"background",13.25,36.25,2
"background",16.75,41.25,2
"background",-6.25,41.25,1
"background",-2.25,47.75,3
"background",-0.75,48.25,3
"background",15.25,50.25,4
"background",24.75,42.75,2
"background",11.25,41.75,2
"background",-3.75,47.25,3
"background",7.75,37.75,2
"background",5.75,48.75,3
"background",-2.25,37.75,1
"background",13.75,41.25,2
"background",9.75,38.75,2
"background",21.25,46.25,4
"background",14.75,50.25,4
"background",1.75,46.25,3
"background",15.25,38.25,2
"background",5.25,47.75,3
"background",14.25,42.25,2
"background",18.75,49.25,4
"background",-6.75,43.25,1
"background",17.75,36.75,2
"background",23.75,41.75,2
"background",2.25,49.75,3
"background",10.25,40.25,2
"background",17.25,46.75,4
"background",3.75,47.25,3
"background",19.25,42.75,2
"background",13.25,38.75,2
"background",23.75,41.25,2
"background",12.75,39.75,2
"background",-0.75,44.75,2
"background",-4.75,41.25,1
"background",8.75,45.75,2
"background",6.25,44.25,2
"background",10.25,50.75,4
"background",3.25,48.25,3
"background",0.75,41.25,2
"background",5.75,44.25,2
"background",11.75,45.75,2
"background",5.25,49.25,3
"background",7.25,51.25,3
"background",7.75,36.75,2
"background",13.25,48.75,4
"background",-8.25,38.25,1
"background",15.75,49.25,4
"background",22.75,36.75,2
"background",12.25,43.25,2
"background",-1.75,36.25,1
"background",4.25,40.75,2
"background",16.75,45.25,2
"background",6.25,49.25,3
"background",2.75,36.25,2
"background",5.25,38.25,2
"background",8.25,37.75,2
"background",13.75,40.25,2
"background",17.25,36.75,2
"background",2.25,48.75,3
"background",-8.25,41.25,1
"background",19.25,39.75,2
"background",14.25,47.25,4
"background",12.75,39.25,2
"background",13.75,37.25,2
"background",-3.25,41.25,1
"background",25.75,43.75,2
"background",-7.25,40.75,1
"background",-0.25,39.25,2
"background",21.75,43.25,2
"background",0.25,47.25,3
"background",6.25,50.25,3
"background",13.75,46.75,4
"background",9.75,47.25,4
"background",-3.25,47.75,3
"background",0.75,46.75,3
"background",23.25,43.25,2
"background",2.25,50.25,3
"background",23.75,39.75,2
"background",13.75,39.25,2
"background",15.75,40.25,2
"background",-1.25,45.75,1
"background",-1.75,42.25,1
"background",-1.75,46.25,3
"background",6.75,41.75,2
"background",13.75,36.75,2
"background",3.25,49.25,3
"background",8.25,46.75,3
"background",-5.25,37.75,1
"background",25.25,44.25,2
"background",-6.75,40.75,1
"background",14.75,49.25,4
"background",-2.25,46.25,3
"background",-3.75,46.25,3
"background",-6.75,36.25,1
"background",-2.75,38.25,1
"background",16.75,41.75,2
"background",7.25,37.25,2
"background",13.25,43.25,2
"background",9.25,51.25,4
"background",-6.75,38.75,1
"background",8.75,40.25,2
"background",9.75,44.75,2
"background",9.25,51.75,4
"background",3.75,51.25,3
"background",7.25,44.75,2
"background",12.25,40.75,2
"background",21.25,42.75,2
"background",19.25,45.75,2
"background",3.75,37.75,2
"background",22.25,46.25,4
"background",1.75,42.25,2
"background",7.75,37.25,2
"background",5.25,39.25,2
"background",-9.25,40.75,1
"background",5.75,43.25,2
"background",18.75,43.25,2
"background",16.25,47.75,4
"background",-0.75,49.75,3
"background",7.75,42.25,2
"background",4.75,46.75,3
"background",2.25,42.75,2
"background",6.25,42.75,2
"background",-0.25,49.25,3
"background",12.25,42.75,2
"background",4.25,44.75,2
"background",1.25,45.75,2
"background",-1.25,40.75,1
"background",-2.25,41.25,1
"background",5.75,46.75,3
"background",-5.25,44.25,1
"background",-5.75,46.75,3
"background",-5.25,47.25,3
"background",21.75,38.25,2
"background",8.75,48.25,4
"background",14.25,44.75,2
"background",-6.25,44.25,1
"background",10.75,43.25,2
"background",8.25,50.75,3
"background",15.25,41.25,2
"background",10.75,42.75,2
"background",-6.25,45.25,1
"background",21.75,44.75,2
"background",-3.75,37.25,1
"background",4.75,49.25,3
"background",4.25,44.25,2
"background",7.75,38.75,2
"background",14.75,47.75,4
"background",9.25,43.25,2
"background",0.75,38.25,2
"background",10.75,38.75,2
"background",-2.75,49.25,3
"background",9.25,44.25,2
"background",-2.75,48.25,3
"background",15.25,44.25,2
"background",-6.25,39.25,1
"background",4.25,38.75,2
"background",19.25,40.25,2
"background",20.25,36.75,2
"background",9.25,41.75,2
"background",25.25,43.75,2
"background",0.25,43.75,2
"background",20.25,37.75,2
"background",21.75,46.75,4
"background",26.25,43.25,2
"background",5.75,40.25,2
"background",2.75,47.75,3
"background",10.75,40.25,2
"background",5.25,42.25,2
"background",22.75,40.25,2
"background",24.25,43.75,2
"background",18.75,47.25,4
"background",-0.25,37.25,2
"background",10.25,52.25,4
"background",4.25,47.75,3
"background",-4.75,46.25,3
"background",14.25,48.25,4
"background",-7.25,43.75,1
"background",-3.25,48.25,3
"background",8.25,44.25,2
"background",16.75,45.75,2
"background",17.25,43.25,2
"background",-1.25,44.25,1
"background",0.25,39.25,2
"background",7.75,45.75,2
"background",-0.25,48.75,3
"background",-3.75,44.75,1
"background",1.25,38.75,2
"background",13.25,50.25,4
"background",17.25,49.25,4
"background",16.25,42.25,2
"background",5.25,47.25,3
"background",12.25,46.75,4
"background",19.25,41.25,2
"background",10.75,45.75,2
"background",20.75,47.75,4
"background",0.75,42.25,2
"background",6.75,45.75,2
"background",20.25,37.25,2
"background",-2.75,36.75,1
"background",17.75,49.25,4
"background",6.25,41.75,2
"background",-6.75,41.25,1
"background",2.25,39.25,2
"background",20.75,40.75,2
"background",18.75,38.25,2
"background",1.75,39.75,2
"background",4.75,38.25,2
"background",9.25,48.25,4
"background",8.25,52.25,3
"background",-6.25,43.25,1
"background",15.75,41.25,2
"background",-6.75,37.75,1
"background",20.25,42.75,2
"background",23.75,45.25,2
"background",9.75,40.75,2
"background",13.25,44.25,2
"background",-2.75,42.25,1
"background",14.25,49.75,4
"background",-7.25,41.25,1
"background",-6.25,45.75,1
"background",-4.25,48.25,3
"background",18.25,44.25,2
"background",6.75,41.25,2
"background",5.75,51.25,3
"background",8.25,36.75,2
"background",-2.75,43.25,1
"background",17.25,39.25,2
"background",20.25,47.75,4
"background",25.25,43.25,2
"background",6.25,48.75,3
"background",-4.75,43.75,1
"background",-4.25,38.25,1
"background",4.25,40.25,2
"background",-4.75,37.25,1
"background",3.75,47.75,3
"background",-2.75,47.75,3
"background",19.75,41.75,2
"background",22.75,37.75,2
"background",-4.75,41.75,1
"background",6.25,48.25,3
"background",13.75,47.25,4
"background",17.75,42.75,2
"background",16.25,43.75,2
"background",6.25,41.25,2
"background",19.75,47.25,4
"background",15.25,50.75,4
"background",-1.75,44.25,1
"background",2.75,43.75,2
"background",9.25,49.25,4
"background",21.25,38.25,2
"background",20.75,37.25,2
"background",-0.75,43.75,2
"background",11.75,42.75,2
"background",0.75,47.25,3
"background",13.25,45.25,2
"background",20.25,47.25,4
"background",7.25,52.25,3
"background",8.75,50.75,4
"background",-4.75,46.75,3
"background",10.75,49.75,4
"background",-0.75,42.25,2
"background",-3.25,39.75,1
"background",-1.25,40.25,1
"background",21.75,38.75,2
"background",0.75,49.75,3
"background",-3.25,44.75,1
"background",5.75,45.75,2
"background",16.25,38.75,2
"background",12.75,43.75,2
"background",19.75,40.25,2
"background",23.75,38.25,2
